Earnings Decile,Full,50K,10K,Cap,(a),(b),(c),(d),Full,50K,10K,Cap,(a),(b),(c),(d),Full,50K,10K,Cap,(a),(b),(c),(d)
1,1276,886,386,886,316,1075,762,442,14.7,10.2,4.4,10.2,3.6,12.4,8.8,5.1,2.3,2.4,3.1,2.8,10.1,3,5,5.7
2,1414,750,229,750,108,1075,588,311,17.6,9.3,4.2,9.3,1.3,13.4,7.3,3.9,2.7,2.2,2.9,2.5,3.7,3.2,4.2,4.3
3,2181,1450,452,1450,470,1642,1477,745,29.2,19.4,6,19.4,6.3,22,19.8,10,4.5,4.6,4.2,5.2,17.5,5.3,11.4,11.1
4,2708,1951,684,1951,214,2033,1525,556,36.1,26,9.1,26,2.9,27.1,20.4,7.4,5.6,6.2,6.3,7.1,7.9,6.5,11.7,8.3
5,3867,3029,1194,3029,283,2679,1720,635,50.6,39.6,15.6,39.6,3.7,35,22.5,8.3,7.9,9.4,10.8,10.7,10.3,8.4,12.9,9.2
6,6784,4099,1397,4099,207,3776,2067,973,91.6,55.3,18.9,55.3,2.8,51,27.9,13.1,14.2,13.1,13,15,7.8,12.3,16,14.6
7,6570,4698,1721,4698,245,3808,1608,694,89.3,63.9,23.4,63.9,3.3,51.8,21.9,9.4,13.9,15.1,16.1,17.3,9.2,12.5,12.6,10.5
8,9079,5178,1610,5002,637,5860,2055,1452,120.4,66.3,21.3,66.3,8.4,77.7,27.2,19.2,18.7,16.3,14.7,18,23.5,18.7,15.7,21.4
9,8274,5507,1754,4378,209,5317,1096,745,111.8,59.2,23.7,59.2,2.8,71.8,14.8,10.1,17.4,17.6,16.3,16,7.9,17.3,8.5,11.2
10,6267,4223,1391,1527,56,4018,267,248,82.2,20,18.2,20,0.7,52.7,3.5,3.3,12.8,13.1,12.6,5.4,2.1,12.7,2,3.6